,Tag,Date,Parameter Code,Values
0,Z004988,09/25/1968,00095,1738.0
1,Z004988,09/25/1968,00300,11.0
2,Z004988,09/25/1968,00310,1.0
3,Z004988,09/25/1968,00403,8.2
4,Z004988,09/25/1968,00940,323.0
5,Z004988,09/25/1968,00945,59.0
6,Z004989,10/10/1968,00070,500.0
7,Z004989,10/10/1968,00095,576.0
8,Z004989,10/10/1968,00300,8.0
9,Z004989,10/10/1968,00310,4.0
10,Z004989,10/10/1968,00403,7.4
11,Z004989,10/10/1968,00940,80.0
12,Z004989,10/10/1968,00945,23.0
13,Z004990,11/13/1968,00010,14.0
14,Z004990,11/13/1968,00011,57.2
15,Z004990,11/13/1968,00070,28.0
16,Z004990,11/13/1968,00095,1590.0
17,Z004990,11/13/1968,00300,9.0
18,Z004990,11/13/1968,00310,2.5
19,Z004990,11/13/1968,00403,8.2
20,Z004990,11/13/1968,00940,253.0
21,Z004990,11/13/1968,00945,79.0
22,Z004991,12/03/1968,00010,7.0
23,Z004991,12/03/1968,00011,44.6
24,Z004991,12/03/1968,00020,10.0
25,Z004991,12/03/1968,00070,5.0
26,Z004991,12/03/1968,00095,1600.0
27,Z004991,12/03/1968,00300,12.0
28,Z004991,12/03/1968,00310,1.0
29,Z004991,12/03/1968,00403,8.3
30,Z004991,12/03/1968,00940,276.0
31,Z004991,12/03/1968,00945,68.0
